precinct,borough,neighborhoods,crimeCount,monthToDate,yearToDate,crimeBreakdown,weightedCrimeVal,safetyScore
101,Queens,"The Rockaways, Broad Channel",73,291,36,"{""Murder"": 1, ""Rape"": 0, ""Robbery"": 5, ""Felony Assault"": 8, ""Burglary"": 2, ""Grand Larceny"": 1, ""Grand Larceny Auto"": 1}",178,0.5970149253731343
102,Queens,"Woodhaven, Richmond Hill",69,340,32,"{""Murder"": 0, ""Rape"": 1, ""Robbery"": 4, ""Felony Assault"": 5, ""Burglary"": 1, ""Grand Larceny"": 3, ""Grand Larceny Auto"": 2}",119,0.7437810945273632
103,Queens,"Jamaica, St. Albans, Hollis",130,687,65,"{""Murder"": 1, ""Rape"": 0, ""Robbery"": 4, ""Felony Assault"": 11, ""Burglary"": 4, ""Grand Larceny"": 7, ""Grand Larceny Auto"": 2}",211,0.5149253731343284
104,Queens,"Ridgewood, Glendale, Maspeth",94,381,45,"{""Murder"": 0, ""Rape"": 1, ""Robbery"": 4, ""Felony Assault"": 7, ""Burglary"": 1, ""Grand Larceny"": 12, ""Grand Larceny Auto"": 4}",150,0.6666666666666667
105,Queens,"Queens Village, Rosedale",66,291,31,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 1, ""Felony Assault"": 4, ""Burglary"": 0, ""Grand Larceny"": 9, ""Grand Larceny Auto"": 2}",57,0.8980099502487562
106,Queens,"Ozone Park, Howard Beach",99,396,40,"{""Murder"": 0, ""Rape"": 1, ""Robbery"": 3, ""Felony Assault"": 13, ""Burglary"": 1, ""Grand Larceny"": 9, ""Grand Larceny Auto"": 5}",188,0.572139303482587
107,Queens,"Fresh Meadows, Briarwood",94,359,43,"{""Murder"": 0, ""Rape"": 1, ""Robbery"": 0, ""Felony Assault"": 4, ""Burglary"": 5, ""Grand Larceny"": 9, ""Grand Larceny Auto"": 5}",106,0.7761194029850746
108,Queens,"Sunnyside, Woodside",117,453,52,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 1, ""Felony Assault"": 3, ""Burglary"": 10, ""Grand Larceny"": 14, ""Grand Larceny Auto"": 4}",110,0.7661691542288558
109,Queens,"Flushing, Bay Terrace",184,754,84,"{""Murder"": 0, ""Rape"": 1, ""Robbery"": 1, ""Felony Assault"": 9, ""Burglary"": 10, ""Grand Larceny"": 14, ""Grand Larceny Auto"": 7}",192,0.5621890547263682
110,Queens,"Elmhurst, South Corona",215,757,102,"{""Murder"": 0, ""Rape"": 1, ""Robbery"": 7, ""Felony Assault"": 23, ""Burglary"": 1, ""Grand Larceny"": 9, ""Grand Larceny Auto"": 5}",308,0.2736318407960199
111,Queens,"Bayside, Douglaston, Little Neck",55,225,24,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 1, ""Felony Assault"": 1, ""Burglary"": 5, ""Grand Larceny"": 10, ""Grand Larceny Auto"": 2}",59,0.8930348258706468
112,Queens,"Forest Hills, Rego Park",109,413,60,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 1, ""Felony Assault"": 3, ""Burglary"": 0, ""Grand Larceny"": 8, ""Grand Larceny Auto"": 3}",51,0.9129353233830846
113,Queens,"Jamaica, St. Albans, Hollis",99,325,37,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 1, ""Felony Assault"": 9, ""Burglary"": 2, ""Grand Larceny"": 13, ""Grand Larceny Auto"": 3}",114,0.7562189054726368
114,Queens,"Astoria, Long Island City",200,776,73,"{""Murder"": 0, ""Rape"": 1, ""Robbery"": 4, ""Felony Assault"": 6, ""Burglary"": 3, ""Grand Larceny"": 22, ""Grand Larceny Auto"": 6}",168,0.6218905472636815
115,Queens,"Jackson heights, North Corona",110,462,55,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 1, ""Felony Assault"": 9, ""Burglary"": 1, ""Grand Larceny"": 11, ""Grand Larceny Auto"": 7}",119,0.7437810945273632
120,Staten Island,"Stapleton, Port Richmond",69,308,38,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 1, ""Felony Assault"": 6, ""Burglary"": 1, ""Grand Larceny"": 9, ""Grand Larceny Auto"": 3}",81,0.8383084577114428
122,Staten Island,"New Springville, South Beach",39,211,17,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 1, ""Felony Assault"": 2, ""Burglary"": 0, ""Grand Larceny"": 6, ""Grand Larceny Auto"": 0}",32,0.9601990049751243
123,Staten Island,"Tottenville, Woodrow, Great Kills",38,119,20,"{""Murder"": 0, ""Rape"": 1, ""Robbery"": 2, ""Felony Assault"": 0, ""Burglary"": 1, ""Grand Larceny"": 6, ""Grand Larceny Auto"": 1}",59,0.8930348258706468
